teams,disposals,round,Player,odds,home,away
st-kilda v melbourne,To Get 20 or More Disposals,R17,mason wood,1.66,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,zak jones,1.89,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,jack billings,1.98,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,rowan marshall,2.08,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,sebastian ross,2.30,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,callum wilkie,2.60,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,marcus windhager,2.65,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,liam stocker,3.30,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,jade gresham,3.50,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,jimmy webster,4.00,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,mitchito owens,4.80,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,dougal howard,6.75,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,mattaes phillipou,9.50,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,angus brayshaw,1.17,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,jack viney,1.18,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,lachie hunter,1.22,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,christian salem,1.26,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,james jordon,1.70,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,ed langdon,1.71,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,trent rivers,1.74,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,steven may,1.92,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,tom sparrow,1.96,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,jake bowey,2.30,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,taj woewodin,2.65,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,jake lever,3.00,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,max gawn,3.45,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,judd mcvee,4.25,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,brodie grundy,4.30,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,alex neal-bullen,4.75,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,kysaiah pickett,6.50,STK,MEL
st-kilda v melbourne,To Get 25 or More Disposals,R17,jack sinclair,1.25,STK,MEL
st-kilda v melbourne,To Get 25 or More Disposals,R17,brad crouch,1.41,STK,MEL
st-kilda v melbourne,To Get 25 or More Disposals,R17,jack steele,2.25,STK,MEL
st-kilda v melbourne,To Get 25 or More Disposals,R17,nasiah wanganeen-milera,2.45,STK,MEL
st-kilda v melbourne,To Get 25 or More Disposals,R17,mason wood,3.90,STK,MEL
st-kilda v melbourne,To Get 25 or More Disposals,R17,zak jones,4.60,STK,MEL
st-kilda v melbourne,To Get 25 or More Disposals,R17,jack billings,4.80,STK,MEL
st-kilda v melbourne,To Get 25 or More Disposals,R17,marcus windhager,6.25,STK,MEL
st-kilda v melbourne,To Get 25 or More Disposals,R17,rowan marshall,6.25,STK,MEL
st-kilda v melbourne,To Get 25 or More Disposals,R17,callum wilkie,6.50,STK,MEL
st-kilda v melbourne,To Get 25 or More Disposals,R17,sebastian ross,7.00,STK,MEL
st-kilda v melbourne,To Get 25 or More Disposals,R17,liam stocker,11.50,STK,MEL
st-kilda v melbourne,To Get 25 or More Disposals,R17,jade gresham,14.00,STK,MEL
st-kilda v melbourne,To Get 25 or More Disposals,R17,mitchito owens,16.00,STK,MEL
st-kilda v melbourne,To Get 25 or More Disposals,R17,jimmy webster,18.00,STK,MEL
st-kilda v melbourne,To Get 25 or More Disposals,R17,christian petracca,1.22,STK,MEL
st-kilda v melbourne,To Get 25 or More Disposals,R17,jack viney,1.62,STK,MEL
st-kilda v melbourne,To Get 25 or More Disposals,R17,angus brayshaw,1.75,STK,MEL
st-kilda v melbourne,To Get 25 or More Disposals,R17,lachie hunter,1.96,STK,MEL
st-kilda v melbourne,To Get 25 or More Disposals,R17,christian salem,2.20,STK,MEL
st-kilda v melbourne,To Get 25 or More Disposals,R17,trent rivers,3.80,STK,MEL
